# Created by Fynne's Python hashlib bench.py - https://github.com/SharkyRawr/python-hashlib-benchmark ,,
# This file has been created on a: arm,,
Hash,Duration in ns,bytes per second
blake2b,1593433000,673854391.116539
blake2s,2534994000,423567797.00464773
md5,1960059000,547810970.9962813
sha1,443234000,2422516828.582645
sha224,437914000,2451946784.0717587
sha256,437564000,2453908054.593157
sha384,1723193000,623111760.5514879
sha3_224,1551894000,691891214.219528
sha3_256,1639369000,654972629.1030267
sha3_384,2131381000,503777515.1415913
sha3_512,3052580000,351748954.65475106
sha512,1724784000,622536980.8625312
shake_128,1335211000,804173890.1192396
shake_256,1638506000,655317602.7429866
